date|time|description|vendor|amount
202-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:45:10|monthly subscription|Spotify|-9.99
2023-04-16|12:30:00|freelance payment|Upwork|850.00
2023-04-17|08:20:45|coffee|Starbucks|-4.75
2023-04-17|14:10:00|office supplies|Staples|-67.20
2023-04-18|11:00:00|Invoice 1002 paid|Jane|1200.00
2023-04-18|16:45:30|ride fare|Uber|-23.50
2023-04-19|10:15:00|lunch meeting|Panera Bread|-18.90
2023-04-19|13:00:00|software license|Adobe|-29.99
2023-04-20|09:00:00|Invoice 1003 paid|Client A|2000.00
2023-04-20|17:30:00|groceries|Whole Foods|-112.35
2023-04-21|07:50:00|gym membership|Equinox|-75.00
2023-04-21|15:20:00|book purchase|Barnes & Noble|-16.45
2023-04-22|10:00:00|Invoice 1004 paid|Client B|1750.00
2023-04-22|18:10:00|dinner|Olive Garden|-45.60
2023-04-23|13:30:00|parking fee|NYC Parking|-12.00
2023-04-24|09:00:00|Invoice 1005 paid|Client C|1800.00
2023-04-24|14:30:00|refund processed|Amazon|89.50
2023-04-25|10:15:00|project milestone payment|Upwork|950.00
2023-04-25|16:00:00|royalty earnings|Spotify|120.00
2023-04-26|08:45:00|Invoice 1006 paid|Client D|2100.00
2023-04-26|13:20:00|affiliate payout|Rakuten|300.00
2023-04-27|11:00:00|bonus received|Employer|500.00
2023-04-27|17:10:00|Invoice 1007 paid|Client E|1600.00
2023-04-28|09:30:00|cashback reward|Credit Card|45.00
2023-04-28|15:45:00|Invoice 1008 paid|Client F|1950.00
2025-09-15|11:38:06.842577800|car Loan|Carfax|2000.0
2025-10-15|11:45:02.294631900|pay electric bill|PSE&G|-340.0
2025-10-15|13:26:40.298290100|rent|realtor|-2000.0
2025-10-15|13:26:40.298290100|rent|realtor|-2000.0
2025-10-16|15:41:48.310352900|Salary|YUU|10000.0
2025-10-16|15:48:45.754756800|Rent|Landlord|-1800.0
